analyte,level,count,h_mean,s_mean,v_mean,h_std,s_std,v_std
Bilirubin,Large 100,48,83.97059985416666,0.11496447916666666,0.4962612708333333,88.1381719194126,0.12901866696173425,0.4470892381327403
Bilirubin,Moderate 50,60,75.27995946666667,0.11035578333333333,0.4718230666666667,83.19154461982404,0.13852570053725188,0.43265212100562067
Bilirubin,Neg,369,76.81621024119241,0.05300589701897019,0.6190088428184282,83.56144712260996,0.08815267497022844,0.43269186338297877
Bilirubin,Small 17,468,54.25002068589744,0.03491328205128205,0.43387555555555557,73.86500435460282,0.07240018019799742,0.4427768675464408
Blood,Hemolyzed 10,24,90.543132875,0.14860016666666667,0.498220375,78.66990957343074,0.13159510860421658,0.4021739600977845
Blood,Large 200,22,69.66970895454546,0.13592736363636362,0.45138127272727274,74.91823314450923,0.20294918058885075,0.40072750728169176
Blood,Moderate 80,22,93.58821854545455,0.15844986363636362,0.5086585,90.21319791569243,0.1803724806444848,0.4237474423019351
Blood,Neg,779,153.85796750962774,0.06869850449293967,0.8556045160462131,85.36414297350193,0.05698008821162249,0.12844277602782375
Blood,Non-hemolyzed 10,76,124.70507389473684,0.09829922368421053,0.7362094342105263,87.85494711659047,0.10509395308679986,0.29580198012456593
Blood,Small 25,22,79.97294509090909,0.12918409090909092,0.4613517272727273,74.39351917209488,0.12189821361727432,0.39368020989436475
Glucose,110 ++++,22,61.31949054545455,0.13378722727272727,0.427335,75.18996708135727,0.20805320291583895,0.42959977701820434
Glucose,15 +,24,84.62796683333333,0.16533595833333334,0.41036779166666665,90.42661494936051,0.15265284739714682,0.43246818807495147
Glucose,30 ++,34,52.24971773529412,0.10406126470588235,0.27499126470588237,73.39402948937773,0.14945892440858494,0.38644402991098425
Glucose,60 +++,34,53.05868205882353,0.1095335,0.3075295294117647,80.15732300653833,0.17435283460207754,0.42193503619181744
Glucose,Neg,793,32.739460215636825,0.020848873896595208,0.28540990920554854,67.62064457859996,0.058810345076949246,0.42078148589193154
Glucose,Trace 5,38,70.09324244736843,0.10676657894736842,0.33172402631578946,88.89806289936612,0.17005355988592344,0.4178686809733341
Ketone,8.0,22,88.86676381818182,0.147374,0.5477565,83.59753730657992,0.1464772894727122,0.4393760002266386
Ketone,Large 16,22,65.75069013636363,0.10619572727272727,0.4587226818181818,74.47729660571963,0.12792358942359508,0.42395182339735754
Ketone,Moderate 4.0,22,77.82861881818182,0.12326490909090909,0.46062004545454543,76.13176725437631,0.11997536729751468,0.4067930329566171
Ketone,Neg,735,123.85634932517007,0.06372061632653062,0.8564517795918367,84.6122712255016,0.05732297383816923,0.2569204351179465
Ketone,Small 1.5,36,84.13880041666667,0.11532430555555556,0.5115335,87.10049887393211,0.11558511244408681,0.44135381773568144
Ketone,Trace 0.5,108,114.28805902777778,0.08001698148148148,0.8467433333333333,82.64799712661866,0.06951782667443433,0.28414840304753247
Leukocytes,Large 500,33,175.8482168787879,0.29067166666666666,0.5080142424242424,54.46387464964933,0.16071416804785174,0.2694292687405406
Leukocytes,Moderate 125,33,182.87393896969698,0.2912759696969697,0.5455036969696969,66.09468517376293,0.13412176711379237,0.25626280019690073
Leukocytes,Neg,437,180.30101990846683,0.39066431350114417,0.2826865881006865,115.96924717426943,0.14848586838668962,0.1575946874186901
Leukocytes,Small 70,47,185.44793212765958,0.2869070425531915,0.5098706382978724,75.42633970497705,0.2124440312645029,0.25026631891812096
Leukocytes,Trace 15,395,175.3847067721519,0.35713897974683545,0.3166572607594937,116.32476467200954,0.17415295511979276,0.1934899045164964
Nitrite,Neg,541,178.21244742144177,0.369981719038817,0.33930117929759707,106.10643239542325,0.18148942795346193,0.19666953766768436
Nitrite,Positive,404,172.2981426311881,0.337889650990099,0.3546508811881188,114.78986648766517,0.1748657598098063,0.21294262083288765
Protein,0.3,24,175.60653195833333,0.18701679166666665,0.7346362083333333,68.54608415570998,0.10425547560359406,0.18442129734613516
Protein,1.0,22,173.89905322727273,0.17777854545454547,0.7027031363636363,69.50989815612579,0.09687701944861812,0.1825420961706929
Protein,3.0,28,169.05634375,0.15230807142857145,0.7999719285714285,70.66383185473812,0.1283276609743112,0.13795090737389376
Protein,>=20.0,28,175.50814232142858,0.13256253571428572,0.7017263214285714,73.8795037126683,0.10844188529921786,0.2002379796568954
Protein,Neg,721,157.1009011927878,0.05410509015256588,0.7822024979195562,82.28983190671262,0.07334777575994275,0.0777756693730064
Protein,Trace,122,163.33813168032788,0.07484090983606558,0.7729114918032787,76.60456379382222,0.08646748493035053,0.10814882737594021
Specific Gravity,1.000,22,98.52432663636364,0.17577072727272727,0.448615,82.30086474505784,0.1632921613417279,0.36795980475293516
Specific Gravity,1.005,46,95.25970395652175,0.1268164347826087,0.5848424565217392,85.28466759087942,0.1889877310683849,0.3823925810351534
Specific Gravity,1.010,110,117.7440077909091,0.08770575454545454,0.8461723545454546,82.99083888294385,0.07097810931614267,0.2569806282198077
Specific Gravity,1.015,122,151.97756690163934,0.08881148360655737,0.8291237786885246,88.13803586391579,0.09431668402391023,0.23922504092766808
Specific Gravity,1.020,93,137.35329866666666,0.07088997849462365,0.7941666129032258,81.73887314122429,0.07356998699943008,0.26333118021425594
Specific Gravity,1.025,225,129.35840412444443,0.07609283555555556,0.8588985688888889,79.76884228483321,0.07213795258317883,0.21172882225959783
Specific Gravity,1.030,327,137.16609675229358,0.07072847094801223,0.8839830795107033,88.08073947429432,0.05151711534466677,0.1681900231562942
Urobilinogen,128,27,175.79149544444445,0.2297635925925926,0.657703962962963,46.6534558502334,0.1344643758426742,0.12551895697389076
Urobilinogen,16,351,182.3619485840456,0.20320518803418802,0.5460917521367521,75.86701565314166,0.20201257581098264,0.2314971019393124
Urobilinogen,3.2,507,191.68854640236685,0.15080551282051283,0.6461894319526628,65.246186197412,0.1878335596450546,0.20070740231863862
Urobilinogen,32,33,190.90065490909092,0.23566175757575758,0.6153484848484848,38.24806707871966,0.15536119773299942,0.16206160731126412
Urobilinogen,64,27,177.1291258888889,0.21335503703703704,0.6816581851851852,56.8822204085876,0.09129637648299387,0.1618250509550216
pH,5.0,248,148.07156409677418,0.07437764516129032,0.8144767661290323,86.94896659669321,0.09331515693347599,0.08868152300808785
pH,6.0,504,157.8485682420635,0.06336038293650793,0.8263375992063492,87.0669352235834,0.05555159464438366,0.09610147907008722
pH,6.5,54,142.10380853703703,0.08882281481481481,0.8024634814814815,80.47642007378074,0.07526825333778685,0.1966346319276534
pH,7.0,54,168.50829548148147,0.10913055555555555,0.8029219814814815,86.86968230572897,0.11894004798491685,0.13232711667366717
pH,7.5,27,146.428621,0.10854714814814814,0.7396314444444444,84.34699565653318,0.09144931603118005,0.2828296200991546
pH,8.0,31,179.97499261290324,0.1215103870967742,0.7026989677419355,87.47783140414339,0.13130260098710608,0.18806505903465598
pH,8.5,27,174.60805966666666,0.12940844444444444,0.7143285925925926,78.4308402661664,0.13168277780510684,0.21526478633091217
